"","id","advmath8","urban","region","gender","famsize","parmarl8","homelang","slfcnc08","slfcnc10","slfcnc12","schtyp8","tcherint","late12","cuts12","absent12","approg","hwkin12","hwkout12","excurr12","computer","hsprog","unitengl","unitmath","unitcalc","schattrt","apoffer","nursery","algebra8","numinst","edexpect","expinc30","achrdg08","achmat08","achsci08","achsls08","achrdg10","achmat10","achsci10","achsls10","achrdg12","achmat12","achsci12","achsls12","cigarett","alcbinge","marijuan","ses"
"1",1,"Yes","Urban","Northeast","Male",4,"Widowed","English Only",27,22,36,"Private, Religious","Agree","7-9 Times","Never","3-6 Times","Yes","1-3 Hours","4-6 Hours","15 - 19 Hours","Yes","Academic",4,3,1,94,6,"Yes","No",1,"Ph.D., MD, JD, etc.",55000,41.94,47.44,37.83,57.4,41.49,55.23,40.69,55.84,52.56,59.69,47.81,55.23,"Never","Yes","Never",23
"2",2,"Missing","Urban","Northeast","Female",7,"Married","English Only",29,23,22,"Private, Religious","Agree","Never","Never","1-2 Times","Yes","7-9 Hours","4-6 Hours","20 - 24 Hours","No","Academic",4,4,0,94,6,"Yes","Yes",2,"Master's Degree",50000,53.86,54.49,43.89,60.99,48.7,53.25,38.09,51.45,53.12,55.36,44.86,61.19,"Never","Never","Never",20
"3",3,"No","Suburban","North Central","Male",4,"Married","English Only",17,19,33,"Private, Religious","Agree","7-9 Times","3-6 Times","3-6 Times","Yes","1-3 Hours","1-3 Hours","None","No","Academic",4,3,0,97,2,"Yes","No",1,"Less than College Degree",35000,53.06,58.05,53.64,50.62,56.94,55.24,50.31,45.26,54.79,56.73,45.78,45.34,"Yes","Yes","Yes",20
"4",4,"No","Urban","North Central","Female",3,"Married","English Only",18,21,29,"Private, Non-Religious","Agree","Never","Never","1-2 Times","No","4-6 Hours","4-6 Hours","Less than 1 Hour","No","Academic",4,3,0,97,5,"Yes","No",1,"Bachelor's Degree",24000,41.86,43.09,45.4,40.69,42.64,52.18,43.42,45.12,44.77,51.08,39.23,35.22,"Never","Never","Yes",29
"5",5,"Yes","Urban","North Central","Male",4,"Married","English Only",32,35,41,"Private, Non-Religious","Strongly Agree","1-2 Times","Never","1-2 Times","Yes","Less than 1 Hour","4-6 Hours","1 - 4 Hours","Yes","Rigorous Academic",4,4,0,97,5,"Yes","Yes",1,"Master's Degree",60000,67.97,64.91,68.28,50.42,63.29,58.64,63.9,67.21,61.99,55.75,66.78,65.25,"Never","Yes","Yes",21
"6",6,"No","Urban","North Central","Female",4,"Married","English Only",9,16,27,"Private, Non-Religious","Agree","7-9 Times","Never","1-2 Times","Yes","7-9 Hours","10-12 Hours","None","No","Academic",4,4,0,97,5,"No","Yes",1,"Ph.D., MD, JD, etc.",25000,62.84,61.04,53.38,54.42,65.66,65.51,61.55,63.37,65.02,61.82,61.97,62.77,"Yes","Yes","Yes",20
"7",7,"Yes","Urban","North Central","Female",4,"98","English Only",20,26,33,"Private, Non-Religious","Strongly Agree","1-2 Times","Never","1-2 Times","No","Over 20 Hours","13-15 Hours","25 or More Hours","No","Academic",3,4,0,97,5,NA,NA,1,"Bachelor's Degree",28000,64.53,66.62,62.79,56.47,63.43,64.75,69.23,66.5,60.49,63.03,64.01,61.02,"Never","Never","Never",19
"8",8,"Yes","Urban","North Central","Female",3,"Married","English Only",32,28,43,"Private, Religious","Strongly Agree","Never","Never","1-2 Times","Yes","Over 20 Hours","Over 20 Hours","10 - 14 Hours","Yes","Academic",4.5,5,0,95,6,"Yes","Yes",1,"Master's Degree",30000,70.55,55.02,58.83,52.93,63.86,56.25,49.5,49.63,64.59,48.74,50.01,48.79,"Never","Never","Never",20
"9",9,"Yes","Urban","North Central","Female",5,"Married","English Only",23,21,29,"Private, Religious","Agree","Never","Never","3-6 Times","No","Less than 1 Hour","Over 20 Hours","None","Yes","Other",4.5,3,0,NA,NA,"No","Yes",2,"Bachelor's Degree",25000,56.9,55.53,47.51,44.06,62.38,55.62,47.22,47.97,58.11,55.58,53.24,59.18,"Never","Never","Never",18
"10",10,"No","Urban","North Central","Male",5,"Married","English Only",30,33,41,"Private, Religious","Strongly Agree","Never","Never","3-6 Times","No","1-3 Hours","1-3 Hours","1 - 4 Hours","Yes","Academic",4,4,0,97,0,"No","No",1,"Ph.D., MD, JD, etc.",30000,56.02,58.93,69.31,64.68,66,61.4,62.59,68.83,60.36,61,64.51,66.05,"Never","Never","Never",29
"11",11,"No","Suburban","North Central","Male",5,"Married","English Only",26,19,29,"Private, Religious","Agree","1-2 Times","Never","1-2 Times","No","1-3 Hours","Less than 1 Hour","Less than 1 Hour","No","Other",3,2,0,95,0,"8","No",2,"Less than College Degree",40000,51.89,50.8,54.17,59.45,61.63,59.42,63,59.32,47.41,57.53,58.02,64.3,"Never","Yes","Never",13
"12",12,"No","Urban","North Central","Female",9,"Married","Non-English Dominant",13,15,17,"Public","Agree","1-2 Times","Never","7-9 Times","No","1-3 Hours","4-6 Hours","Less than 1 Hour","No","Academic",5,4,0,84,0,"8","No",2,"Bachelor's Degree",-6,40.7,38.38,36.43,44.68,46.24,36.31,37,46.08,41.74,35.25,39.45,40.56,"Never","Never","Never",6
"13",13,"Yes","Suburban","North Central","Female",5,"Married","English Dominant",27,28,40,"Public","Disagree","Never","Never","1-2 Times","Yes","7-9 Hours","1-3 Hours","5 - 9 Hours","No","Academic",3,4,0,96,0,"No","No",1,"Ph.D., MD, JD, etc.",20000,58.4,56.68,55.31,48.76,51.57,56.74,58.13,48.79,55.25,60.18,53.2,57.08,"Never","Yes","Yes",8
"14",14,"Yes","Suburban","North Central","Female",5,"Married","English Dominant",30,31,41,"Public","Agree","Never","Never","Never","Yes","10-12 Hours","Over 20 Hours","5 - 9 Hours","No","Rigorous Academic",5,4.5,1,998,4,"Yes","Yes",1,"Master's Degree",30000,66.5,54.7,64.78,59.68,60.73,55.78,66.98,59.04,64.83,61.27,64.07,64.81,"Never","Never","Never",24
"15",15,"No","Suburban","North Central","Male",3,"Married","English Only",20,21,20,"Public","Disagree","3-6 Times","1-2 Times","Never","Yes","4-6 Hours","1-3 Hours","None","Yes","Rigorous Academic",4,3.5,0,998,4,"Yes","No",1,"Ph.D., MD, JD, etc.",25000,41.15,47.02,40.88,46.78,47.35,49.13,56.54,51.6,53.78,48.39,50.03,60.06,"Never","Never","Yes",17
"16",16,"No","Suburban","North Central","Female",4,"Divorced","English Only",19,12,9,"Public","Agree","1-2 Times","Never","3-6 Times","No","4-6 Hours","None","5 - 9 Hours","Yes","Academic",4,3,0,88,4,"8","No",2,"Less than College Degree",35000,51.39,54.75,51.63,58.61,55.85,52.84,48.06,55.61,51.34,50.27,48.21,55.86,"Never","Never","Never",18
"17",17,"Yes","Urban","North Central","Female",4,"98","English Only",30,33,29,"Public","Agree","10-15 Times","1-2 Times","1-2 Times","Yes","16-20 Hours","13-15 Hours","1 - 4 Hours","No","Academic",4,3.5,0,91,32,NA,NA,1,"Bachelor's Degree",25000,60.46,63.94,51.64,54.02,56.34,62.74,44.96,46.46,60.3,61.75,58.69,51.73,"Never","Never","Never",17
"18",18,"No","Rural","North Central","Female",4,"98","English Only",27,21,29,"Public","Agree","1-2 Times","Never","3-6 Times","No","4-6 Hours","4-6 Hours","10 - 14 Hours","No","Academic",4,4,0,96,32,NA,NA,1,"Ph.D., MD, JD, etc.",60000,51.96,51.36,55.97,61.77,63.72,61.25,54,59.15,57.97,64.09,49.97,55.77,"Never","Never","Never",6
"19",19,"No","Rural","North Central","Male",7,"Married","English Only",27,28,43,"Public","Agree","Never","1-2 Times","10-15 Times","No","7-9 Hours","1-3 Hours","1 - 4 Hours","No","Academic",4,4,0,96,32,"8","No",1,"Ph.D., MD, JD, etc.",35000,64.35,60.29,74.29,66.38,66,55.47,69.51,72.89,62.24,59.08,68.29,67.38,"Never","Never","Never",15
"20",20,"No","Rural","North Central","Female",5,"Married","English Only",17,21,27,"Public","Strongly Agree","1-2 Times","Never","7-9 Times","No","7-9 Hours","13-15 Hours","15 - 19 Hours","Yes","Academic",4,3,0,96,32,"No","No",1,"Less than College Degree",35000,56.7,47.79,54.68,58.73,54.59,53.07,60.02,52.75,52.29,49.73,55.26,49.3,"Never","Never","Never",26
"21",21,"Yes","Urban","North Central","Female",4,"Married","English Only",20,15,21,"Public","Strongly Agree","10-15 Times","Over 15 Times","1-2 Times","Yes","4-6 Hours","4-6 Hours","Less than 1 Hour","No","Rigorous Academic",4.5,3.5,0,90,2,"No","Yes",4,"Master's Degree",50000,58.63,58.56,58.37,53.04,44.05,54.25,45.09,43.14,58.45,54.76,58.86,49.03,"Never","Never","Never",18
"22",22,"No","Rural","North Central","Female",6,"Married","English Only",17,27,25,"Public","Agree","Never","Never","1-2 Times","No","4-6 Hours","1-3 Hours","5 - 9 Hours","No","Academic",4.5,2.5,0,96,98,"No","No",2,"Bachelor's Degree",22000,57.31,44.11,55.4,64.95,63.84,43.97,49.66,54.94,56.91,51.19,58.28,56.28,"Never","Never","Never",10
"23",23,"No","Rural","North Central","Female",3,"Divorced","English Only",17,27,40,"Public","Agree","Never","Never","7-9 Times","No","4-6 Hours","4-6 Hours","1 - 4 Hours","No","Some Vocational",4.5,2,0,96,98,"No","No",2,"Bachelor's Degree",30000,60.16,54.74,53.34,60.98,58.74,49.91,46.59,59.98,58.96,49.84,51.62,61.22,"Never","Yes","Never",18
"24",24,"Yes","Rural","North Central","Male",4,"Married","English Only",30,33,43,"Public","Agree","Never","1-2 Times","3-6 Times","No","16-20 Hours","10-12 Hours","10 - 14 Hours","Yes","Rigorous Academic",4,4,0,95,0,"Yes","Yes",1,"Ph.D., MD, JD, etc.",80000,67.63,74.29,73.04,66.44,64.6,68.19,68.26,70.84,61.21,66.48,68.53,60.65,"Never","Yes","Never",22
"25",25,"Yes","Rural","North Central","Female",4,"Married","English Only",25,35,41,"Public","Agree","Never","Never","1-2 Times","Yes","1-3 Hours","4-6 Hours","1 - 4 Hours","No","Rigorous Academic",4,4,0,95,0,"No","Yes",1,"Master's Degree",30000,47.81,48.96,40.33,42.78,50.19,53.61,44.54,55.3,59.12,54.33,39.82,56.08,"Never","Never","Never",9
"26",26,"Missing","Rural","North Central","Female",6,"Married","English Only",27,18,40,"Public","Agree","Never","Never","1-2 Times","No","10-12 Hours","4-6 Hours","5 - 9 Hours","Yes","Academic",4.5,2.5,0,89,15,"Yes","No",2,"Bachelor's Degree",30000,59.84,49.4,56.06,55.43,49.81,46.53,61.3,46.38,54.15,43.28,54.29,49.38,"Yes","Never","Never",11
"27",27,"Yes","Rural","North Central","Female",4,"Married","English Only",18,22,32,"Public","Disagree","Never","1-2 Times","Never","No","1-3 Hours","1-3 Hours","1 - 4 Hours","No","Academic",4.5,3.5,0,96,6,"8","No",1,"Master's Degree",35000,44.33,44,43.94,58.21,45.12,48.6,50.4,57.93,45.31,46.07,50.26,54.86,"Never","Never","Never",8
"28",28,"Yes","Rural","North Central","Female",6,"Married","English Only",15,17,25,"Public","Agree","Never","Never","1-2 Times","Yes","1-3 Hours","4-6 Hours","1 - 4 Hours","No","Academic",4,2,0,97,3,"No","Yes",1,"Bachelor's Degree",37000,47.74,50.11,54.32,59.6,50.72,55.67,54.2,50.89,52.11,53.26,53.43,59.42,"Never","Never","Never",12
"29",29,"No","Suburban","North Central","Male",4,"Married","English Only",22,27,25,"Public","Agree","1-2 Times","Never","3-6 Times","Yes","4-6 Hours","7-9 Hours","5 - 9 Hours","No","Other",4.5,2,0,95,1,"Yes","No",2,"Master's Degree",40000,61.91,50.78,62.62,52.36,56.07,50.08,62.52,58.67,60.38,54.39,56.79,56.53,"Never","Never","Never",19
"30",30,"No","Urban","North Central","Male",3,"Married","English Only",30,33,43,"Public","Agree","3-6 Times","3-6 Times","1-2 Times","Yes","1-3 Hours","7-9 Hours","15 - 19 Hours","No","Academic",5.5,4,0,82,0,"Yes",NA,1,"Bachelor's Degree",40000,65.81,55.94,59.57,55.73,58.43,55.75,41.14,47.84,51.35,55,53.24,54.92,"Never","Never","Never",8
"31",31,"No","Suburban","North Central","Female",6,"Married","Non-English Dominant",19,29,29,"Public","Agree","1-2 Times","Never","Never","Yes","4-6 Hours","4-6 Hours","None","Yes","Academic",4,4,0,95,10,"8","No",1,"Ph.D., MD, JD, etc.",70000,52.59,44.41,43.01,54.27,43.97,53.73,42.34,42.46,45.64,52.39,44.33,51.88,"Never","Never","Never",23
"32",32,"No","Suburban","North Central","Male",8,"Married","English Only",23,19,25,"Public","Agree","1-2 Times","Never","1-2 Times","No","10-12 Hours","7-9 Hours","None","Yes","Academic",4,4,0,95,10,"Yes","No",1,"Bachelor's Degree",35000,37.29,45.81,42.23,58.19,44.18,56.54,56.48,43.36,44.27,53.38,52.95,52.01,"Never","Never","Never",20
"33",33,"Yes","Rural","North Central","Female",6,"Married","English Only",20,22,34,"Public","Agree","1-2 Times","Never","1-2 Times","No","4-6 Hours","1-3 Hours","1 - 4 Hours","No","Rigorous Academic",4.5,4,0,96,0,"No","Yes",1,"Bachelor's Degree",50000,65.35,57.44,60.97,61.98,60.3,59.1,62.98,58.73,59.69,54.98,61.2,61.8,"Never","Never","Never",10
"34",34,"No","Rural","North Central","Female",5,"Married","English Only",1,9,25,"Public","Agree","10-15 Times","Never","1-2 Times","No","7-9 Hours","7-9 Hours","10 - 14 Hours","No","Rigorous Academic",4.5,4,0,96,0,"No","Yes",1,"Master's Degree",-6,70.55,65.68,65.09,72.57,67.86,59.75,62.84,66.12,66.15,56.6,59.66,68.47,"Never","Never","Never",20
"35",35,"No","Suburban","North Central","Male",5,"Married","English Only",18,21,31,"Public","Agree","3-6 Times","1-2 Times","1-2 Times","Yes","Less than 1 Hour","Less than 1 Hour","5 - 9 Hours","No","Rigorous Academic",4,3,0,92,0,"Yes","Yes",1,"Master's Degree",35000,40.31,52.15,58.28,49.42,47.37,53.25,57.6,56.49,51.95,54.52,49.42,63.93,"Never","Yes","Yes",30
"36",36,"Yes","Rural","North Central","Male",5,"Married","English Only",22,25,43,"Public","Agree","1-2 Times","Never","3-6 Times","Yes","4-6 Hours","None","Less than 1 Hour","Yes","Academic",3,3,0,97,6,"Yes","Yes",1,"Bachelor's Degree",60000,60.79,68.61,71.32,61.8,63.5,69.97,60.82,53.26,56.19,70.94,66.74,63.24,"Never","Yes","Never",17
"37",37,"No","Rural","North Central","Female",5,"Married","English Only",28,21,43,"Public","Agree","Never","Never","3-6 Times","No","10-12 Hours","Over 20 Hours","10 - 14 Hours","No","Some Vocational",4,4,0,97,6,"Yes","No",1,"Master's Degree",50000,46.14,58.38,46.68,52.89,44.14,57.37,45.45,41.86,53.51,54.48,46.65,45.85,"Never","Never","Never",26
"38",38,"No","Suburban","North Central","Female",4,"Married","English Only",17,18,29,"Public","Disagree","Never","Never","3-6 Times","No","1-3 Hours","1-3 Hours","None","Yes","Rigorous Academic",4.5,4,0,998,4,"Yes","No",2,"Master's Degree",30000,57.81,44,45.85,50.08,48.3,47.02,49.76,46.38,56.38,50.59,52.66,51.13,"Never","Yes","Yes",19
"39",39,"Yes","Suburban","North Central","Female",4,"Married","English Only",25,18,30,"Public","Disagree","3-6 Times","Never","7-9 Times","Yes","1-3 Hours","1-3 Hours","None","No","Academic",4,3.5,0,998,0,"Yes","Yes",1,"Less than College Degree",-6,49.74,42.96,44.82,48.76,48.32,43.1,49,43.38,48,40.65,46.12,40.53,"Yes","Never","Yes",14
"40",40,"Yes","Suburban","North Central","Female",6,"Married","Non-English Only",20,25,40,"Public","Agree","Over 15 Times","7-9 Times","3-6 Times","Yes","13-15 Hours","16-20 Hours","Less than 1 Hour","Yes","Academic",5,4,1.5,998,0,"Yes","Yes",2,"Master's Degree",50000,46.18,73.8,54.29,54.94,38.22,62.12,54.7,50.34,50.5,64.3,59.49,55.69,"Never","Never","Never",6
"41",41,"No","Suburban","North Central","Female",9,"Married","English Only",10,17,27,"Public","Strongly Agree","10-15 Times","3-6 Times","7-9 Times","No","13-15 Hours","Less than 1 Hour","1 - 4 Hours","No","Other",3,3,0,96,2,"No","Yes",2,"Master's Degree",30000,53.05,39.29,47.67,44.53,53.27,42.78,44.34,40.45,52.61,56.5,55.31,58.65,"Never","Never","Never",18
