"caseid" "gender" "race" "c1rrscal" "c1rrtsco" "c1rmscal" "c1rmtsco" "c1rgscal" "c1rgtsco" "c1fmotor" "c1gmotor" "c2rrscal" "c2rrtsco" "c2rmscal" "c2rmtsco" "c2rgscal" "c2rgtsco" "c3rrscal" "c3rrtsco" "c3rmscal" "c3rmtsco" "c3rgscal" "c3rgtsco" "c4rrscal" "c4rrtsco" "c4rmscal" "c4rmtsco" "c4rgscal" "c4rgtsco" "p1learn" "p1contro" "p1social" "t1learn" "t1contro" "t1interp" "t1extern" "t1intern" "p1center" "p1disabl" "p1htotal" "p1hfamil" "p1firkdg" "p1hrsprk" "wkmomed" "wkdaded" "wklangst" "wksesl" "wksesq5" "s2kpupri" "p1count" "plshare" "p1pencil" "p1still" "p1letter" "p1verbal" "p1expect" "p1readbo" "p1tellst" "p1singso" "p1helpar" "p1chores" "p1games" "p1nature" "p1build" "p1sport" "p1chlboo" "p1chsesa" "p2librar" "p2safepl" "p2garbag" "p2drug" "p2burglr" "p2violen" "p2vacant" "p2bktog"
"1" 1 1 4 22 51 26 60 26 56 7 7 36 55 35 58 28 51 38 52 45 62 35 56 48 46 50 57 38 55 3.17 3.6 3 3 3.67 3 1 2 2 2 5 3 1 40 1 5 1 30 1 1 1 1 1 1 1 1 6 4 4 2 3 3 4 3 3 4 25 1 1 3 3 3 2 3 3 7
"2" 2 2 1 14 37 15 45 18 46 4 8 36 55 23 47 29 53 35 49 28 47 22 41 42 43 42 50 26 40 3.5 3.2 4 2.33 2.5 2.4 3.2 1.25 2 2 5 1 1 0 1 1 2 31 1 1 2 2 2 2 2 2 3 4 2 2 4 4 4 2 4 4 12 1 2 3 3 3 3 3 3 0
"3" 3 2 1 27 57 20 53 25 55 3 7 39 57 33 57 31 56 40 54 40 58 32 52 67 58 41 49 31 46 3.17 2.4 3.67 2.83 2.67 2.5 1.2 1.25 1 2 3 2 1 20 3 3 2 32 1 1 3 2 3 2 3 2 3 4 4 4 2 2 3 3 2 3 30 2 1 3 2 3 3 3 3 3
"4" 4 2 2 21 50 16 46 15 41 5 6 28 47 25 50 21 43 35 50 28 47 23 42 49 47 45 52 31 46 2.83 3.8 2.67 3.17 3.33 3 1 1.5 1 2 5 1 1 16 2 2 2 32 1 1 2 2 2 2 2 2 4 3 2 4 4 3 3 3 2 3 40 1 1 3 3 2 3 3 3 2
"5" 5 1 1 21 49 15 45 11 33 3 5 20 36 18 40 13 32 27 42 17 31 15 31 40 42 20 24 19 32 2.5 2.8 2.67 2 2.25 2 2.4 2.25 2 2 5 1 1 0 2 3 2 32 1 1 2 2 1 2 2 1 2 4 2 2 1 2 2 2 2 4 4 1 2 2 2 3 2 3 3 1
"6" 6 1 2 15 40 9 32 20 48 1 3 15 28 14 31 21 43 19 29 11 20 28 47 18 12 14 13 25 40 2.83 2.8 2.67 1.17 2.75 2 2.4 1 1 2 5 1 2 110 3 3 2 32 1 1 3 2 2 2 3 2 3 3 3 3 2 4 3 3 4 2 12 1 2 2 3 2 1 3 2 3
"7" 7 2 1 26 56 21 54 17 45 9 4 32 52 31 55 18 40 38 52 34 52 19 36 60 54 43 50 30 45 3.67 2.2 3 3 2.33 2 1.2 1.5 1 2 4 1 1 0 1 2 2 32 1 1 2 2 3 2 2 2 2 4 4 3 2 4 2 1 3 4 30 1 2 2 3 3 3 3 3 7
"8" 8 1 1 14 38 12 39 15 41 3 7 32 52 26 50 30 54 38 52 38 56 34 54 60 54 55 62 37 53 4 3.2 4 1 2.5 1.4 1.4 3.25 2 2 5 5 1 0 1 1 2 32 1 1 2 2 2 2 2 2 2 4 4 2 4 2 4 4 3 4 75 1 2 3 3 3 3 3 3 2
"9" 9 2 4 14 37 10 35 17 44 8 6 16 30 17 37 18 39 21 33 16 31 21 40 38 40 26 33 24 37 4 4 3 2.83 3 3 1.4 1 1 2 7 1 1 4 1 2 1 32 1 1 2 2 2 2 2 2 6 2 4 4 2 4 4 2 3 4 20 2 2 2 3 3 2 3 3 7
"10" 10 2 2 14 39 11 37 8 27 1 5 23 41 19 41 15 34 27 41 21 39 17 34 57 52 38 46 21 35 2.67 3 3 1.67 3.5 2.6 1 1.75 2 2 7 1 1 0 2 3 2 33 1 1 2 2 2 2 2 2 3 2 3 2 2 4 2 2 1 2 15 1 2 3 3 2 3 3 3 4
